Date,Power_time,Outages,Remark
3/21/2024,20.5,3.5,
3/22/2024,19.5,4.5,
3/23/2024,15.5,8.5,
3/24/2024,21.5,2.5,
3/25/2024,20.0,4.0,
3/26/2024,21.0,3.0,
3/27/2024,7.0,17.0,
3/28/2024,15.5,8.5,
3/29/2024,19.0,5.0,
3/30/2024,20.0,4.0,
3/31/2024,18.5,5.5,
4/1/2024,21.0,3.0,
4/2/2024,17.5,6.5,
4/3/2024,14.5,9.5,
4/4/2024,15.0,9.0,
4/5/2024,20.0,4.0,
4/6/2024,18.0,6.0,
4/7/2024,18.5,5.5,
4/8/2024,20.0,4.0,
4/9/2024,19.0,5.0,
4/10/2024,16.0,8.0,
4/11/2024,18.0,6.0,
4/12/2024,18.0,6.0,
4/13/2024,15.0,9.0,
4/14/2024,9.5,14.5,
4/15/2024,2.5,21.5,
4/16/2024,14.0,10.0,
4/17/2024,16.0,8.0,
4/18/2024,13.0,11.0,
4/19/2024,16.5,7.5,
4/20/2024,,,Wedding weekend
4/21/2024,,,Wedding weekend
4/22/2024,,,Wedding weekend
4/23/2024,9.0,15.0,
4/24/2024,15.5,8.5,
4/25/2024,21.0,3.0,
4/26/2024,19.5,4.5,
4/27/2024,0.0,24.0,Maintenance
4/28/2024,0.0,24.0,Maintenance
4/29/2024,5.5,18.5,End of maintenance
4/30/2024,19.5,4.5,
5/1/2024,20.0,4.0,
5/2/2024,17.5,6.5,
5/3/2024,20.5,3.5,
5/4/2024,20.0,4.0,
5/5/2024,13.0,11.0,
5/6/2024,13.0,11.0,
5/7/2024,23.5,0.5,
5/8/2024,18.5,5.5,
5/9/2024,17.5,6.5,
5/10/2024,20.5,3.5,
5/11/2024,13.5,10.5,
5/12/2024,19.0,5.0,
5/13/2024,19.0,5.0,
5/14/2024,19.0,5.0,
5/15/2024,7.5,16.5,
5/16/2024,8.0,16.0,
5/17/2024,17.5,6.5,
5/18/2024,12.5,11.5,
5/19/2024,16.5,7.5,
5/20/2024,19.5,4.5,
5/21/2024,14.0,10.0,
5/22/2024,23.0,1.0,
5/23/2024,14.5,9.5,
5/24/2024,18.5,5.5,
5/25/2024,17.0,7.0,
5/26/2024,16.0,8.0,
5/27/2024,18.0,6.0,
5/28/2024,15.0,9.0,
5/29/2024,23.5,0.5,
5/30/2024,14.0,10.0,
5/31/2024,17.0,7.0,
6/1/2024,17.0,7.0,
6/2/2024,21.0,3.0,
6/3/2024,13.0,11.0,
